kernel,backend,size,M,N,K,runs_bayesian,runs_random,trials_per_run,bayesian_mean_best_ms,random_mean_best_ms,bayesian_median_best_ms,random_median_best_ms,bayesian_std_best_ms,random_std_best_ms,bayesian_q1_ms,bayesian_q3_ms,random_q1_ms,random_q3_ms,mean_difference_bo_minus_rs_ms,bo_relative_change_vs_rs_pct,bo_speedup_over_rs,cohens_d_bo_minus_rs,effect_size_label,welch_t_statistic,welch_p_value,welch_mean_difference_ms,welch_ci95_half_width_ms,welch_ci95_low_ms,welch_ci95_high_ms,mann_whitney_u_statistic,mann_whitney_p_value,significant_at_0_05,descriptive_winner,conclusion,why_not_significant,stats_source,stats_path
matmul,cuda,1024,1024,1024,1024,10,10,20,0.2709440030157566,0.2661935970187187,0.2645680010318756,0.2573919966816902,0.02006744961282624,0.01964860573832517,0.25443200394511223,0.29110001027584076,0.25286800041794777,0.2682039998471737,0.00475040599703791,1.7845680926366767,0.9824672037610603,0.2269299003579853,small,0.507430683327709,0.6180161389756373,0.00475040599703791,0.017407296629437845,-0.012656890632399935,0.022157702626475755,55.0,0.7337299956962472,no,Random,No significant RS-vs-BO difference,Welch and Mann-Whitney p-values are >= 0.05; Welch 95pct CI for the mean difference includes zero; Cohen d effect size is small; IQR ranges overlap; only 10 independent runs per strategy,statistical_results_json,/home/dieguinho/OLI=3 Dropbox/Diego Alejandro Arévalo Quintero/UIS/9no semestre/Tesis/scripts/git2/hpc-gemm/results_20260522_152743/matmul/size_1024/statistical_results_cuda.json
matmul,cuda,2048,2048,2048,2048,10,10,20,1.7734960079193116,1.7877456068992614,1.7085279822349548,1.7447919845581055,0.1377559652865289,0.12849265232402107,1.6745040267705917,1.8737960010766983,1.6857480108737946,1.8447040170431137,-0.014249598979949818,-0.7970708430191531,1.0080347510884264,-0.10148546303492707,negligible,-0.2269283940741391,0.8230489644334829,-0.014249598979949818,0.11675920485070634,-0.13100880383065616,0.10250960587075653,39.0,0.4273553138978077,no,Bayesian,No significant RS-vs-BO difference,Welch and Mann-Whitney p-values are >= 0.05; Welch 95pct CI for the mean difference includes zero; Cohen d effect size is negligible; IQR ranges overlap; only 10 independent runs per strategy,statistical_results_json,/home/dieguinho/OLI=3 Dropbox/Diego Alejandro Arévalo Quintero/UIS/9no semestre/Tesis/scripts/git2/hpc-gemm/results_20260522_152743/matmul/size_2048/statistical_results_cuda.json
matmul,cuda,4096,4096,4096,4096,10,10,20,16.43006548881531,15.736388683319092,15.84176778793335,15.812903881072998,0.9849681416187548,0.1695919777792738,15.740015983581543,17.313616037368774,15.58519196510315,15.855875968933105,0.6936768054962172,4.408106710223353,0.9577800340498682,0.9311663467948749,large,2.0821512497934833,0.06531553641955376,0.6936768054962172,0.6194727762364775,0.07420402925973979,1.3131495817326946,61.0,0.4273553138978077,no,Random,No significant RS-vs-BO difference,Welch and Mann-Whitney p-values are >= 0.05; IQR ranges overlap; only 10 independent runs per strategy,statistical_results_json,/home/dieguinho/OLI=3 Dropbox/Diego Alejandro Arévalo Quintero/UIS/9no semestre/Tesis/scripts/git2/hpc-gemm/results_20260522_152743/matmul/size_4096/statistical_results_cuda.json
matmul,sycl,1024,1024,1024,1024,10,10,20,2.231807994842529,2.172416001558304,2.280192017555237,2.0536320209503174,0.282270931542465,0.25215403849622287,1.9482880234718323,2.515711933374405,2.0081920325756073,2.435072034597397,0.059391993284225286,2.73391437190771,0.9733883947806111,0.21052510682543255,small,0.47074844983207215,0.6435454301408959,0.059391993284225286,0.23459369115304265,-0.17520169786881737,0.2939856844372679,57.0,0.6231762238821174,no,Random,No significant RS-vs-BO difference,Welch and Mann-Whitney p-values are >= 0.05; Welch 95pct CI for the mean difference includes zero; Cohen d effect size is small; IQR ranges overlap; only 10 independent runs per strategy,statistical_results_json,/home/dieguinho/OLI=3 Dropbox/Diego Alejandro Arévalo Quintero/UIS/9no semestre/Tesis/scripts/git2/hpc-gemm/results_20260522_152743/matmul/size_1024/statistical_results_sycl.json
matmul,sycl,2048,2048,2048,2048,10,10,20,4.578457593917847,4.656588816642762,4.71833598613739,4.70963191986084,0.35186165354182924,0.216188743451576,4.21913605928421,4.851199924945831,4.45248007774353,4.818560063838959,-0.0781312227249149,-1.677863899979144,1.0170649659022084,-0.25382967951778096,small,-0.5675804181087442,0.5787458335015657,-0.0781312227249149,0.25596143917835634,-0.33409266190327125,0.17783021645344144,44.5,0.7053513720635047,no,Bayesian,No significant RS-vs-BO difference,Welch and Mann-Whitney p-values are >= 0.05; Welch 95pct CI for the mean difference includes zero; Cohen d effect size is small; IQR ranges overlap; only 10 independent runs per strategy,statistical_results_json,/home/dieguinho/OLI=3 Dropbox/Diego Alejandro Arévalo Quintero/UIS/9no semestre/Tesis/scripts/git2/hpc-gemm/results_20260522_152743/matmul/size_2048/statistical_results_sycl.json
matmul,sycl,4096,4096,4096,4096,10,10,20,21.349529552459718,21.315481662750244,20.902143955230713,21.339136123657227,1.1183563391717546,0.7089359030640112,20.84006428718567,21.285503149032593,20.71769642829895,21.99116826057434,0.03404788970947337,0.15973314724092572,0.9984052159263832,0.03449824254972058,negligible,0.07714041544545089,0.939516308870977,0.03404788970947337,0.8207021139937407,-0.7866542242842673,0.8547500037032141,43.0,0.6231762238821174,no,Random,No significant RS-vs-BO difference,Welch and Mann-Whitney p-values are >= 0.05; Welch 95pct CI for the mean difference includes zero; Cohen d effect size is negligible; IQR ranges overlap; only 10 independent runs per strategy,statistical_results_json,/home/dieguinho/OLI=3 Dropbox/Diego Alejandro Arévalo Quintero/UIS/9no semestre/Tesis/scripts/git2/hpc-gemm/results_20260522_152743/matmul/size_4096/statistical_results_sycl.json
stencil,cuda,1024,1024,1024,512,10,10,20,5.802351999282837,6.3300800085067745,5.53057599067688,6.373216152191162,0.5797144622902083,0.5883400229216835,5.394844114780426,6.281463921070099,5.917811989784241,6.83078795671463,-0.5277280092239378,-8.336830000801609,1.0909507057291878,-0.8572084686453253,large,-1.9167764067794444,0.07128496321459714,-0.5277280092239378,0.5119364069419794,-1.0396644161659172,-0.015791602281958417,25.0,0.06402210128302689,no,Bayesian,No significant RS-vs-BO difference,Welch and Mann-Whitney p-values are >= 0.05; IQR ranges overlap; only 10 independent runs per strategy,statistical_results_json,/home/dieguinho/OLI=3 Dropbox/Diego Alejandro Arévalo Quintero/UIS/9no semestre/Tesis/scripts/git2/hpc-gemm/results_20260522_152743/stencil/size_1024/statistical_results_cuda.json
stencil,cuda,2048,2048,2048,512,10,10,20,16.312830257415772,16.422620916366576,16.39628028869629,16.31881618499756,0.4923022355913487,0.3237384988878627,15.837343692779541,16.70159125328064,16.25689196586609,16.57850432395935,-0.10979065895080353,-0.6685331136237064,1.0067303255914708,-0.24999523655757236,small,-0.5590063429938722,0.5841151483540308,-0.10979065895080353,0.36519597467656867,-0.4749866336273722,0.25540531572576514,44.0,0.6775849579524755,no,Bayesian,No significant RS-vs-BO difference,Welch and Mann-Whitney p-values are >= 0.05; Welch 95pct CI for the mean difference includes zero; Cohen d effect size is small; IQR ranges overlap; only 10 independent runs per strategy,statistical_results_json,/home/dieguinho/OLI=3 Dropbox/Diego Alejandro Arévalo Quintero/UIS/9no semestre/Tesis/scripts/git2/hpc-gemm/results_20260522_152743/stencil/size_2048/statistical_results_cuda.json
stencil,cuda,4096,4096,4096,512,10,10,20,65.7938835144043,65.65228729248047,65.26016807556152,65.31485557556152,1.0703701554880918,0.9487238518318626,65.22165966033936,66.67569637298584,65.19235897064209,66.2022762298584,0.1415962219238338,0.21567599205344312,0.9978478816819981,0.13281881418335284,negligible,0.29699189720489017,0.7699212732859485,0.1415962219238338,0.8865115353585048,-0.744915313434671,1.0281077572823385,48.0,0.9097218891455553,no,Random,No significant RS-vs-BO difference,Welch and Mann-Whitney p-values are >= 0.05; Welch 95pct CI for the mean difference includes zero; Cohen d effect size is negligible; IQR ranges overlap; only 10 independent runs per strategy,statistical_results_json,/home/dieguinho/OLI=3 Dropbox/Diego Alejandro Arévalo Quintero/UIS/9no semestre/Tesis/scripts/git2/hpc-gemm/results_20260522_152743/stencil/size_4096/statistical_results_cuda.json
stencil,sycl,1024,1024,1024,512,10,10,20,10.174819326400756,10.374984216690063,10.030496835708618,10.404438257217407,0.4579800535612613,0.4573837414963203,9.87693202495575,10.293272137641907,10.012229800224304,10.607689380645752,-0.20016489028930629,-1.9293030823825679,1.0196725744082684,-0.4149018106353748,small,-0.9277486525684433,0.3658121291794446,-0.20016489028930629,0.4011759564250682,-0.6013408467143745,0.20101106613576192,36.0,0.3074894566186813,no,Bayesian,No significant RS-vs-BO difference,Welch and Mann-Whitney p-values are >= 0.05; Welch 95pct CI for the mean difference includes zero; Cohen d effect size is small; IQR ranges overlap; only 10 independent runs per strategy,statistical_results_json,/home/dieguinho/OLI=3 Dropbox/Diego Alejandro Arévalo Quintero/UIS/9no semestre/Tesis/scripts/git2/hpc-gemm/results_20260522_152743/stencil/size_1024/statistical_results_sycl.json
stencil,sycl,2048,2048,2048,512,10,10,20,28.6589075088501,28.426999282836913,28.610830783843994,28.49744462966919,0.5857932546516017,0.20934790045116478,28.13517451286316,28.90952754020691,28.284024000167847,28.608240604400635,0.23190822601318573,0.8158026941422645,0.991907987911208,0.5001588856225845,medium,1.1183892678026413,0.2866892319340345,0.23190822601318573,0.38556756165742445,-0.15365933564423873,0.6174757876706102,59.0,0.5205228832757727,no,Random,No significant RS-vs-BO difference,Welch and Mann-Whitney p-values are >= 0.05; Welch 95pct CI for the mean difference includes zero; IQR ranges overlap; only 10 independent runs per strategy,statistical_results_json,/home/dieguinho/OLI=3 Dropbox/Diego Alejandro Arévalo Quintero/UIS/9no semestre/Tesis/scripts/git2/hpc-gemm/results_20260522_152743/stencil/size_2048/statistical_results_sycl.json
stencil,sycl,4096,4096,4096,512,10,10,20,72.79192390441895,72.05972633361816,72.79153060913086,72.28279304504395,0.5995467697024404,1.4863014474441776,72.29117488861084,73.00199508666992,70.90865325927734,73.4026927947998,0.7321975708007926,1.0160981841797518,0.9899412251864339,0.6129438134893841,medium,1.3705840333502153,0.19590086545262939,0.7321975708007926,0.993344614561245,-0.2611470437604524,1.7255421853620376,58.0,0.5707503880581739,no,Random,No significant RS-vs-BO difference,Welch and Mann-Whitney p-values are >= 0.05; Welch 95pct CI for the mean difference includes zero; IQR ranges overlap; only 10 independent runs per strategy,statistical_results_json,/home/dieguinho/OLI=3 Dropbox/Diego Alejandro Arévalo Quintero/UIS/9no semestre/Tesis/scripts/git2/hpc-gemm/results_20260522_152743/stencil/size_4096/statistical_results_sycl.json
